pair,name,base
1CAT/USDT,Bitcoin Cats,1CAT
1INCH/USDT,1inch Network,1INCH
1MCT/USDT,MicroCreditToken,1MCT
3KM/USDT,3 Kingdoms Multiverse,3KM
3ULL/USDT,PLAYA3ULL GAMES,3ULL
404A/USDT,404Aliens,404A
5IRE/USDT,5ire,5IRE
AA/USDT,A3S Protocol,AA
AAA/USDT,Moon Rabbit,AAA
AAG/USDT,AAG,AAG
AAST/USDT,AASToken,AAST
AAVE/USDC,Aave,AAVE
AAVE/USDT,Aave,AAVE
ABBC/USDT,ABBC Coin,ABBC
ABC/USDT,Angry Bulls Club,ABC
ABEL/USDT,Abelian,ABEL
ABOND/USDT,ApeBond,ABOND
AC/USDT,ACoconut,AC
ACA/USDT,Acala Token,ACA
ACE/USDT,Fusionist,ACE
ACH/USDT,Alchemy Pay,ACH
ACM/USDT,AC Milan Fan Token,ACM
ACN/USDT,Acorn Protocol,ACN
ACQ/USDT,Acquire.Fi,ACQ
ACRIA/USDT,Acria.AI,ACRIA
ACS/USDT,Access Protocol,ACS
ACX/USDT,Across Protocol,ACX
ADA/USDT,Cardano,ADA
ADA/BTC,Cardano,ADA
ADA/USDC,Cardano,ADA
ADAX/USDT,ADAX,ADAX
ADF/USDT,Art de Finance,ADF
ADS/USDT,Alkimi,ADS
AE/USDT,Æternity,AE
AERGO/USDT,Aergo,AERGO
AES/USDT,Aree Shards,AES
AFC/USDT,Arsenal Fan Token,AFC
AGI/USDT,Delysium,AGI
AGII/USDT,AGII,AGII
AGIX/USDT,SingularityNET,AGIX
AGLD/USDT,Adventure Gold,AGLD
AGRO/USDT,Agro Global,AGRO
AI/USDT,Sleepless AI,AI
AIA/USDT,AIA Chain,AIA
AIAKITA/USDT,AiAkita,AIAKITA
AIAT/USDT,AI Analysis Token,AIAT
AIBB/USDT,BullBear AI,AIBB
AICODE/USDT,AI CODE,AICODE
AICORE/USDT,AICORE,AICORE
AIDOGE/USDT,ArbDoge AI,AIDOGE
AIDOGEXLM/USDT,AIDOGE Stellar,AIDOGEXLM
AIEPK/USDT,EpiK Protocol,AIEPK
AIKIRBY/USDT,Kirby CEO,AIKIRBY
AIMX/USDT,Mind Matrix,AIMX
AIN/USDT,AI Network,AIN
AIPAD/USDT,AIPAD,AIPAD
AIRB/USDT,BillionAir,AIRB
AIRI/USDT,aiRight,AIRI
AISWAP/USDT,AISwap,AISWAP
AIT/USDT,AiMalls,AIT
AITECH/USDT,Solidus Ai Tech,AITECH
AIX/USDT,Aigang,AIX
AKI/USDT,Aki Network,AKI
AKITA/USDT,Akita Inu,AKITA
AKITAX/USDT,Akitavax,AKITAX
AKRO/USDT,Akropolis,AKRO
ALEPH/USDT,Aleph.im,ALEPH
ALEX/USDT,ALEX Lab,ALEX
ALF/USDT,Alfprotocol,ALF
ALGB/USDT,Algebra,ALGB
ALGO/USDT,Algorand,ALGO
ALGO/USDC,Algorand,ALGO
ALI/USDT,Artificial Liquid Intelligence,ALI
ALICE/USDT,MyNeighborAlice,ALICE
ALLIN/USDT,All In,ALLIN
ALM/USDT,Alium Finance,ALM
ALPACA/USDT,Alpaca Finance,ALPACA
ALPH/USDT,Alephium,ALPH
ALPHA/USDT,Stella,ALPHA
ALPINE/USDT,Alpine F1 Team Fan Token,ALPINE
ALT/USDT,AptosLaunch Token,ALT
ALT0/USDT,ArchLoot,ALT0
ALTLAYER/USDT,Altlayer,ALTLAYER
ALU/USDT,Altura,ALU
AMA/USDT,Mrweb Finance (new),AMA
AMB/USDT,AirDAO,AMB
AMC/USDT,AI Meta Club,AMC
AME/USDT,AME Chain,AME
AMG/USDT,DeHeroGame Amazing Token,AMG
AMO/USDT,Amino,AMO
