pair,name,base
RLC/USDT,iExec RLC,RLC
RNDR/USDT,Render,RNDR
RPL/USD,Rocket Pool,RPL
RSR/USD,Reserve Rights,RSR
RUNE/USD,THORChain,RUNE
RVN/USD,Ravencoin,RVN
SAND/USDT,The Sandbox,SAND
SC/USD,Siacoin,SC
SD/USD,Stader,SD
SDN/USD,Shiden Network,SDN
SEI/USDT,Sei,SEI
SHIB/USDT,Shiba Inu,SHIB
SKL/USD,SKALE,SKL
SLN/USD,Smart Layer Network,SLN
SLP/USD,Smooth Love Potion,SLP
SNT/USD,Status,SNT
SNX/USD,Synthetix,SNX
SOL/BTC,Solana,SOL
SPA/USD,Sperax,SPA
SPELL/USD,Spell Token,SPELL
SPS/USD,Splintershards,SPS
STG/USD,Stargate Finance,STG
STORJ/USDT,Storj,STORJ
STPT/USD,STP,STPT
STRAX/USDT,Stratis,STRAX
STRK/USD,Starknet,STRK
STX/USD,Stacks,STX
SUDO/USD,sudoswap,SUDO
SUI/USD,Sui,SUI
SUPER/USD,SuperVerse,SUPER
SUSHI/USD,SushiSwap,SUSHI
SYN/USD,Synapse,SYN
T/USDT,Threshold,T
TFUEL/USDT,Theta Fuel,TFUEL
THETA/USDT,Theta Network,THETA
TIA/USDT,Celestia,TIA
TONIC/USDT,Tectonic,TONIC
TRAC/USD,OriginTrail,TRAC
TRB/USD,Tellor,TRB
TRU/USD,TrueFi,TRU
UMA/USD,UMA,UMA
UNFI/USD,Unifi Protocol DAO,UNFI
UNI/USDT,Uniswap,UNI
UNIBOT/USD,UniBot,UNIBOT
USDT/USD,Tether USDt,USDT
VANRY/USD,Vanar Chain,VANRY
VELO/USD,Velo,VELO
VET/BTC,VeChain,VET
VNO/USD,Veno Finance,VNO
VOXEL/USD,Voxies,VOXEL
VRA/USD,Verasity,VRA
VTHO/USD,VeThor Token,VTHO
VVS/USD,VVS Finance,VVS
WAVES/USD,Waves,WAVES
WAXP/USD,WAX,WAXP
WBTC/BTC,Wrapped Bitcoin,WBTC
WEMIX/USD,WEMIX,WEMIX
WIF/USD,dogwifhat,WIF
WLD/USDT,Worldcoin,WLD
WOO/USDT,WOO,WOO
XAI/USD,Xai,XAI
XCH/USD,Chia,XCH
XLM/USDT,Stellar,XLM
XNO/USD,Nano,XNO
XPLA/USD,XPLA,XPLA
XRP/USD,XRP,XRP
XTZ/USDT,Tezos,XTZ
XYO/USDT,XYO,XYO
YFI/USDT,yearn.finance,YFI
YGG/USD,Yield Guild Games,YGG
ZBC/USD,Zebec,ZBC
ZED/USD,ZED Token,ZED
ZETA/USD,ZetaChain,ZETA
ZIL/USDT,Zilliqa,ZIL
ZRX/USD,0x Protocol,ZRX
