pair,name,base
1INCH/USDT,1inch Network,1INCH
AAVE/USDT,Aave,AAVE
ACA/USDT,Acala Token,ACA
ACH/USDT,Alchemy Pay,ACH
ACS/USD,Access Protocol,ACS
ADA/USDT,Cardano,ADA
AERGO/USD,Aergo,AERGO
AGIX/USD,SingularityNET,AGIX
AGLD/USD,Adventure Gold,AGLD
AIOZ/USD,AIOZ Network,AIOZ
AKT/USD,Akash Network,AKT
ALCX/USD,Alchemix,ALCX
ALGO/USD,Algorand,ALGO
ALI/USD,Artificial Liquid Intelligence,ALI
ALICE/USD,MyNeighborAlice,ALICE
ALPHA/USD,Stella,ALPHA
ALT/USD,Altlayer,ALT
AMP/USDT,Amp,AMP
ANKR/USDT,Ankr,ANKR
APE/USD,ApeCoin,APE
API3/USD,API3,API3
APT/USD,Aptos,APT
AR/USD,Arweave,AR
ARB/USD,Arbitrum,ARB
ARK/USD,Ark,ARK
ARKM/USD,Arkham,ARKM
ARPA/USD,ARPA,ARPA
ASTR/USD,Astar,ASTR
ATOM/USD,Cosmos,ATOM
AUDIO/USDT,Audius,AUDIO
AURORA/USD,Aurora,AURORA
AVAX/USD,Avalanche,AVAX
AXL/USD,Axelar,AXL
AXS/USD,Axie Infinity,AXS
BADGER/USD,Badger DAO,BADGER
BAL/USD,Balancer,BAL
BAND/USDT,Band Protocol,BAND
BAT/USD,Basic Attention Token,BAT
BCH/BTC,Bitcoin Cash,BCH
BCUT/USD,bitsCrunch,BCUT
BEAT/USD,MetaBeat,BEAT
BICO/USD,Biconomy,BICO
BIGTIME/USD,Big Time,BIGTIME
BLUR/USDT,Blur,BLUR
BLZ/USD,Bluzelle,BLZ
BNT/USDT,Bancor,BNT
BOBA/USD,Boba Network,BOBA
BOND/USD,BarnBridge,BOND
BONE/USD,Bone ShibaSwap,BONE
BONK/USD,Bonk,BONK
BOSON/USD,Boson Protocol,BOSON
BRICK/USD,r/FortNiteBR Bricks,BRICK
BTC/USDT,Bitcoin,BTC
C98/USD,Coin98,C98
CANTO/USD,CANTO,CANTO
CELR/USD,Celer Network,CELR
CHESS/USD,Tranchess,CHESS
CHR/USDT,Chromia,CHR
CHZ/USD,Chiliz,CHZ
CKB/USD,Nervos Network,CKB
COMP/USD,Compound,COMP
CORGIAI/USD,CorgiAI,CORGIAI
COS/USD,Contentos,COS
COTI/USD,COTI,COTI
CQT/USDT,Covalent,CQT
CRO/USD,Cronos,CRO
CROID/USD,Cronos ID,CROID
CRPT/USD,Crypterium,CRPT
CRV/USD,Curve DAO Token,CRV
CSPR/USDT,Casper,CSPR
CTC/USD,Creditcoin,CTC
CTSI/USDT,Cartesi,CTSI
CUDOS/USD,CUDOS,CUDOS
CVX/USD,Convex Finance,CVX
CYBER/USD,CyberConnect,CYBER
DAI/USDT,Dai,DAI
DAR/USD,Mines of Dalarnia,DAR
DATA/USD,Streamr,DATA
DERC/USDT,DeRace,DERC
DGB/USD,DigiByte,DGB
DIA/USD,DIA,DIA
DOGE/BTC,Dogecoin,DOGE
DOT/USD,Polkadot,DOT
DYDX/USDT,dYdX (ethDYDX),DYDX
DYM/USD,Dymension,DYM
EGLD/USD,MultiversX,EGLD
ELA/USD,Elastos,ELA
ELF/USD,aelf,ELF
ELON/USDT,Dogelon Mars,ELON
ENJ/USDT,Enjin Coin,ENJ
ENS/USD,Ethereum Name Service,ENS
EOS/USDT,EOS,EOS
ERN/USD,Ethernity,ERN
ETC/USD,Ethereum Classic,ETC
ETH/USDT,Ethereum,ETH
ETHW/USD,EthereumPoW,ETHW
FARM/USD,Harvest Finance,FARM
FER/USD,Ferro,FER
FET/USD,Fetch.ai,FET
FIL/USD,Filecoin,FIL
FIS/USD,StaFi,FIS
FITFI/USDT,Step App,FITFI
FLIP/USD,Chainflip,FLIP
FLOKI/USDT,FLOKI,FLOKI
FLOW/USD,Flow,FLOW
FLR/USD,Flare,FLR
FLUX/USD,Flux,FLUX
FORTH/USD,Ampleforth Governance Token,FORTH
FTM/USDT,Fantom,FTM
FUL/USD,Fulcrom Finance,FUL
FXS/USD,Frax Share,FXS
GAL/USD,Galxe,GAL
GALA/USD,Gala,GALA
GARI/USD,Gari Network,GARI
GAS/USD,Gas,GAS
GEKKO/USD,Gekko HQ,GEKKO
GEL/USD,Gelato,GEL
GHST/USD,Aavegotchi,GHST
GLM/USDT,Golem,GLM
GLMR/USD,Moonbeam,GLMR
GMT/USDT,GMT,GMT
GMX/USD,GMX,GMX
GNO/USD,Gnosis,GNO
GNS/USD,Gains Network,GNS
GODS/USD,Gods Unchained,GODS
GRAIL/USD,Camelot Token,GRAIL
GRT/USDT,The Graph,GRT
GTC/USD,Gitcoin,GTC
HBAR/BTC,Hedera,HBAR
HFT/USD,Hashflow,HFT
HIGH/USD,Highstreet,HIGH
HNT/USD,Helium,HNT
HOD/USD,HoDooi.com,HOD
HOT/USD,Holo,HOT
ICP/USD,Internet Computer,ICP
ICX/USDT,ICON,ICX
IDEX/USD,IDEX,IDEX
ILV/USDT,Illuvium,ILV
IMX/USD,Immutable,IMX
INJ/USD,Injective,INJ
IOST/USD,IOST,IOST
IOTX/USD,IoTeX,IOTX
IQ/USD,IQ,IQ
IRIS/USD,IRISnet,IRIS
JASMY/USD,JasmyCoin,JASMY
JOE/USD,JOE,JOE
JTO/USD,Jito,JTO
JUP/USD,Jupiter,JUP
KAVA/USD,Kava,KAVA
KDA/USD,Kadena,KDA
KLAY/USDT,Klaytn,KLAY
KNC/USD,Kyber Network Crystal v2,KNC
KP3R/USD,Keep3rV1,KP3R
KRL/USD,Kryll,KRL
KSM/USD,Kusama,KSM
LADYS/USD,Milady Meme Coin,LADYS
LBR/USD,Lybra Finance,LBR
LCRO/USD,Liquid CRO,LCRO
LDO/USDT,Lido DAO,LDO
LEASH/USD,Doge Killer,LEASH
LINK/USDT,Chainlink,LINK
LIT/USD,Litentry,LIT
LMWR/USD,LimeWire,LMWR
LOKA/USD,League of Kingdoms Arena,LOKA
LPT/USDT,Livepeer,LPT
LQTY/USD,Liquity,LQTY
LRC/USDT,Loopring,LRC
LSK/USD,Lisk,LSK
LTC/USD,Litecoin,LTC
LUNA2/USD,Terra,LUNA2
LUNC/USD,Terra Classic,LUNC
LYX/USD,LUKSO,LYX
MAGIC/USD,Treasure,MAGIC
MANA/BTC,Decentraland,MANA
MASK/USD,Mask Network,MASK
MATIC/USDT,Polygon,MATIC
MAVIA/USDT,Heroes of Mavia,MAVIA
MBL/USDT,MovieBloc,MBL
MDT/USDT,Measurable Data Token,MDT
METIS/USDT,Metis,METIS
MINA/USDT,Mina,MINA
MKR/USD,Maker,MKR
MLK/USD,MiL.k,MLK
MLN/USD,Enzyme,MLN
MMF/USD,MM Finance (Cronos),MMF
MNDE/USD,Marinade,MNDE
MOBILE/USD,Helium Mobile,MOBILE
MOON/USD,r/CryptoCurrency Moons,MOON
MOVR/USD,Moonriver,MOVR
MTD/USD,Minted,MTD
MXC/USD,MXC,MXC
MYRO/USD,Myro,MYRO
NEAR/USDT,NEAR Protocol,NEAR
NEO/USD,Neo,NEO
NEON/USDT,Neon EVM,NEON
NKN/USD,NKN,NKN
NMR/USD,Numeraire,NMR
NUM/USD,Numbers Protocol,NUM
OAS/USD,Oasys,OAS
OCEAN/USDT,Ocean Protocol,OCEAN
OGN/USDT,Origin Protocol,OGN
OLE/USD,OpenLeverage,OLE
OMG/USD,OMG Network,OMG
ONDO/USD,Ondo,ONDO
ONE/USDT,Harmony,ONE
ONG/USD,Ontology Gas,ONG
ONT/USD,Ontology,ONT
OP/USDT,Optimism,OP
ORCA/USD,Orca,ORCA
ORDI/USDT,ORDI,ORDI
ORN/USD,Orion,ORN
OSMO/USD,Osmosis,OSMO
OXT/USD,Orchid,OXT
PAXG/USD,PAX Gold,PAXG
PENDLE/USD,Pendle,PENDLE
PEPE/USDT,Pepe,PEPE
PERP/USDT,Perpetual Protocol,PERP
PIXEL/USDT,Pixels,PIXEL
POL/USD,Polygon Ecosystem Token,POL
POLS/USDT,Polkastarter,POLS
POLYX/USD,Polymesh,POLYX
POND/USD,Marlin,POND
POWR/USDT,Powerledger,POWR
PRIME/USD,Echelon Prime,PRIME
PRQ/USD,PARSIQ,PRQ
PSTAKE/USD,pSTAKE Finance,PSTAKE
PUSH/USD,Push Protocol,PUSH
PYR/USD,Vulcan Forged (PYR),PYR
PYTH/USD,Pyth Network,PYTH
PYUSD/USDT,PayPal USD,PYUSD
QI/USDT,BENQI,QI
QNT/USD,Quant,QNT
QRDO/USD,Qredo,QRDO
QTUM/USD,Qtum,QTUM
QUICK/USD,Quickswap [New],QUICK
RAD/USD,Radworks,RAD
RADAR/USD,DappRadar,RADAR
RARE/USD,SuperRare,RARE
RARI/USDT,Rarible,RARI
RBN/USD,Ribbon Finance,RBN
RDNT/USD,Radiant Capital,RDNT
REEF/USD,Reef,REEF
REQ/USD,Request,REQ
