pair,name,base
CAPO/USDT,IL CAPO OF CRYPTO,CAPO
CAST/USDT,Castello Coin,CAST
CCHG/USDT,C+Charge,CCHG
CEL/USDT,Celsius,CEL
CELO/USDT,Celo,CELO
CELR/USDT,Celer Network,CELR
CEM/USDT,Crypto Emergency,CEM
CENX/USDT,Centcex,CENX
CETUS/USDT,Cetus Protocol,CETUS
CGO/USDT,Comtech Gold,CGO
CGPT/USDT,ChainGPT,CGPT
CHEEL/USDT,Cheelee,CHEEL
CHEQ/USDT,cheqd,CHEQ
CHESS/USDT,Tranchess,CHESS
CHEX/BTC,Chintai,CHEX
CHONKY/USDT,CHONKY,CHONKY
CHZ/USDT,Chiliz,CHZ
CIRUS/USDT,Cirus Foundation,CIRUS
CIX/USDT,Centurion Invest,CIX
CLEO/USDT,Cleo Tech,CLEO
CLFI/USDT,cLFi,CLFI
CMCX/USDT,Catena,CMCX
COMBO/USDT,COMBO,COMBO
COMP/USDT,Compound,COMP
CONE/USDT,HoneyWood,CONE
COQ/USDT,Coq Inu,COQ
CORE/USDT,Core,CORE
CPC/USDT,CPCoin,CPC
CRE/USDT,Crypto Real Estate,CRE
CREDI/USDT,Credefi,CREDI
CREO/USDT,Creo Engine,CREO
CRO/USDT,Cronos,CRO
CRU/USDT,Crust Network,CRU
CRV/USDT,Curve DAO Token,CRV
CRYN/USDT,CRYN,CRYN
CSIX/USDT,Carbon browser,CSIX
CSPR/USDT,Casper,CSPR
CTEX/USDT,Crypto tex,CTEX
CVX/USDT,Convex Finance,CVX
CX/USDT,CHARTAI,CX
CYBA/USDT,CYBRIA,CYBA
CYBER/USDT,CyberConnect,CYBER
CZGOAT/USDT,CZ THE GOAT,CZGOAT
D2T/USDT,Dash 2 Trade,D2T
DAI/USDC,Dai,DAI
DAI/USDT,Dai,DAI
DAMEX/USDT,Damex Token,DAMEX
DAR/USDT,Mines of Dalarnia,DAR
DBC/USDT,DeepBrain Chain,DBC
DBD/USDT,Day By Day,DBD
DC/USDT,Dogechain,DC
DCB/USDT,Decubate,DCB
DCK/USDT,DexCheck,DCK
DEFI/USDT,DeFi,DEFI
DEOD/USDT,Decentrawood,DEOD
DERP/USDT,Derp,DERP
DGB/USDT,DigiByte,DGB
DHLT/USDT,DeHealth,DHLT
DIA/USDT,DIA,DIA
DIGI/USDT,Digiverse,DIGI
DINO/USDT,DinoLFG,DINO
DIS/USDT,Disney,DIS
DMAIL/USDT,DMAIL Network,DMAIL
DMD/BTC,Diamond,DMD
DNX/USDT,Dynex,DNX
DODO/USDT,DODO,DODO
DOGE/USDT,Dogecoin,DOGE
DOGE/USDC,Dogecoin,DOGE
DOGECOIN/USDT,Buff Doge Coin,DOGECOIN
DOME/USDT,Everdome,DOME
DORKL/USDT,DORK LORD,DORKL
DOT/USDT,Polkadot,DOT
DREAMS/USDT,Dreams Quest,DREAMS
DUEL/USDT,GameGPT,DUEL
DUKO/USDT,DUKO,DUKO
DYDX/USDT,dYdX (ethDYDX),DYDX
DYM/USDT,Dymension,DYM
DZOO/USDT,Degen Zoo,DZOO
ECLD/USDT,Ethernity CLOUD,ECLD
ECOTERRA/USDT,ecoterra,ECOTERRA
EDU/USDT,Open Campus,EDU
EFK/USDT,EFK Token,EFK
EGG/USDT,Eggdog,EGG
EGO/USDT,EGO,EGO
ELF/USDT,aelf,ELF
ELON/USDT,Dogelon Mars,ELON
EMAID/USDT,MaidSafeCoin,EMAID
EMR/USDT,Emorya Finance,EMR
ENJ/USDT,Enjin Coin,ENJ
ENS/USDT,Ethereum Name Service,ENS
EOS/USDC,EOS,EOS
EOS/USDT,EOS,EOS
EPAN/USDT,Paypolitan Token,EPAN
ETC/USDT,Ethereum Classic,ETC
ETH/USDT,Ethereum,ETH
