pair,name,base
1INCH/USDT,1inch Network,1INCH
AAVE/USDT,Aave,AAVE
ACH/USDT,Alchemy Pay,ACH
ADA/BTC,Cardano,ADA
ADA/USDT,Cardano,ADA
ADX/USDT,AdEx,ADX
ALGO/USDT,Algorand,ALGO
ANT/USDT,Aragon,ANT
APE/USDT,ApeCoin,APE
API3/USDT,API3,API3
APT/USDT,Aptos,APT
ARB/USDT,Arbitrum,ARB
ASTR/USDT,Astar,ASTR
ATOM/USDT,Cosmos,ATOM
AUDIO/USDT,Audius,AUDIO
AVAX/USDT,Avalanche,AVAX
AVAX/BTC,Avalanche,AVAX
AXS/USDT,Axie Infinity,AXS
BAND/USDT,Band Protocol,BAND
BAT/USDT,Basic Attention Token,BAT
BCH/USDT,Bitcoin Cash,BCH
BICO/USDT,Biconomy,BICO
BLUR/USDT,Blur,BLUR
BNB/BUSD,BNB,BNB
BNB/BTC,BNB,BNB
BNB/USDT,BNB,BNB
BNT/USDT,Bancor,BNT
BOND/USDT,BarnBridge,BOND
BOSON/USDT,Boson Protocol,BOSON
BTC/BUSD,Bitcoin,BTC
BTC/USDT,Bitcoin,BTC
BTC/USDC,Bitcoin,BTC
CELO/USDT,Celo,CELO
CELR/USDT,Celer Network,CELR
CHZ/USDT,Chiliz,CHZ
CLV/USDT,CLV,CLV
COMP/USDT,Compound,COMP
COTI/USDT,COTI,COTI
CRV/USDT,Curve DAO Token,CRV
CTSI/USDT,Cartesi,CTSI
CUDOS/USDT,CUDOS,CUDOS
DGB/USDT,DigiByte,DGB
DOGE/USDT,Dogecoin,DOGE
DOT/USDT,Polkadot,DOT
EGLD/USDT,MultiversX,EGLD
ENJ/USDT,Enjin Coin,ENJ
ENS/USDT,Ethereum Name Service,ENS
EOS/USDT,EOS,EOS
ETC/USDT,Ethereum Classic,ETC
ETH/BTC,Ethereum,ETH
ETH/BUSD,Ethereum,ETH
ETH/USDT,Ethereum,ETH
ETH/USDC,Ethereum,ETH
FET/USDT,Fetch.ai,FET
FIL/USDT,Filecoin,FIL
FLOKI/USDT,FLOKI,FLOKI
FLOW/USDT,Flow,FLOW
FLUX/USDT,Flux,FLUX
FORT/USDT,Forta,FORT
FORTH/USDT,Ampleforth Governance Token,FORTH
FTM/USDT,Fantom,FTM
GALA/USDT,Gala,GALA
GLM/USDT,Golem,GLM
GRT/USDT,The Graph,GRT
ICP/USDT,Internet Computer,ICP
ILV/USDT,Illuvium,ILV
IMX/USDT,Immutable,IMX
IOST/USDT,IOST,IOST
JAM/USDT,Geojam Token,JAM
KAVA/USDT,Kava,KAVA
KDA/USDT,Kadena,KDA
KNC/USDT,Kyber Network Crystal v2,KNC
KSM/USDT,Kusama,KSM
LDO/USDT,Lido DAO,LDO
LINK/USDT,Chainlink,LINK
LINK/BTC,Chainlink,LINK
LOOM/USDT,Loom Network,LOOM
LPT/USDT,Livepeer,LPT
LRC/USDT,Loopring,LRC
LTC/USDT,Litecoin,LTC
LTC/BTC,Litecoin,LTC
LTO/USDT,LTO Network,LTO
MANA/USDT,Decentraland,MANA
MASK/USDT,Mask Network,MASK
MATIC/USDT,Polygon,MATIC
MATIC/BTC,Polygon,MATIC
MKR/USDT,Maker,MKR
MXC/USDT,MXC,MXC
NEAR/USDT,NEAR Protocol,NEAR
NEO/USDT,Neo,NEO
NMR/USDT,Numeraire,NMR
OCEAN/USDT,Ocean Protocol,OCEAN
OGN/USDT,Origin Protocol,OGN
ONE/USDT,Harmony,ONE
ONT/USDT,Ontology,ONT
OP/USDT,Optimism,OP
ORBS/USDT,Orbs,ORBS
OXT/USDT,Orchid,OXT
PAXG/USDT,PAX Gold,PAXG
POND/USDT,Marlin,POND
QNT/USDT,Quant,QNT
QTUM/USDT,Qtum,QTUM
RAD/USDT,Radworks,RAD
RARE/USDT,SuperRare,RARE
REEF/USDT,Reef,REEF
REN/USDT,Ren,REN
RLC/USDT,iExec RLC,RLC
RNDR/USDT,Render,RNDR
ROSE/USDT,Oasis Network,ROSE
SAND/USDT,The Sandbox,SAND
SANTOS/USDT,Santos FC Fan Token,SANTOS
SHIB/USDT,Shiba Inu,SHIB
SKL/USDT,SKALE,SKL
SLP/USDT,Smooth Love Potion,SLP
SNX/USDT,Synthetix,SNX
SOL/USDT,Solana,SOL
SOL/BTC,Solana,SOL
STG/USDT,Stargate Finance,STG
STMX/USDT,StormX,STMX
STORJ/USDT,Storj,STORJ
SUSHI/USDT,SushiSwap,SUSHI
SYS/USDT,Syscoin,SYS
T/USDT,Threshold,T
TFUEL/USDT,Theta Fuel,TFUEL
THETA/USDT,Theta Network,THETA
TLM/USDT,Alien Worlds,TLM
TRAC/USDT,OriginTrail,TRAC
UNI/USDT,Uniswap,UNI
USDC/USDT,USDC,USDC
USDT/USD,Tether USDt,USDT
VET/USDT,VeChain,VET
VTHO/USDT,VeThor Token,VTHO
WAXP/USDT,WAX,WAXP
XEC/USDT,eCash,XEC
XLM/USDT,Stellar,XLM
XRP/USDT,XRP,XRP
YFI/USDT,yearn.finance,YFI
ZEC/USDT,Zcash,ZEC
ZEN/USDT,Horizen,ZEN
ZRX/USDT,0x Protocol,ZRX
