pair,name,base
1CAT/USDT,Bitcoin Cats,1CAT
1EARTH/USDT,EarthFund,1EARTH
1INCH/USDT,1inch Network,1INCH
AA/USDT,A3S Protocol,AA
AAVE/BTC,Aave,AAVE
AAVE/USDT,Aave,AAVE
AAVE/KCS,Aave,AAVE
ABBC/USDT,ABBC Coin,ABBC
ABBC/BTC,ABBC Coin,ABBC
ACE/USDT,ACENT,ACE
ACH/USDT,Alchemy Pay,ACH
ACQ/USDT,Acquire.Fi,ACQ
ACQ/USDC,Acquire.Fi,ACQ
ACS/USDT,Access Protocol,ACS
ACT/USDT,Achain,ACT
ADA/KCS,Cardano,ADA
ADA/BTC,Cardano,ADA
ADA/USDC,Cardano,ADA
ADA/USDT,Cardano,ADA
ADS/USDT,Alkimi,ADS
ADS/BTC,Alkimi,ADS
ADX/USDT,AdEx,ADX
AEG/USDT,Aether Games,AEG
AERGO/USDT,Aergo,AERGO
AERGO/BTC,Aergo,AERGO
AFG/USDT,Army of Fortune Gem,AFG
AGIX/USDT,SingularityNET,AGIX
AGIX/BTC,SingularityNET,AGIX
AGIX/ETH,SingularityNET,AGIX
AGLD/USDT,Adventure Gold,AGLD
AI/USDT,Multiverse,AI
AIEPK/USDT,EpiK Protocol,AIEPK
AIOZ/USDT,AIOZ Network,AIOZ
AIPAD/USDT,AIPAD,AIPAD
AKRO/USDT,Akropolis,AKRO
AKRO/BTC,Akropolis,AKRO
AKT/USDT,Akash Network,AKT
ALEPH/USDT,Aleph.im,ALEPH
ALEX/USDT,ALEX Lab,ALEX
ALGO/KCS,Algorand,ALGO
ALGO/USDT,Algorand,ALGO
ALGO/USDC,Algorand,ALGO
ALGO/ETH,Algorand,ALGO
ALGO/BTC,Algorand,ALGO
ALICE/ETH,MyNeighborAlice,ALICE
ALICE/USDT,MyNeighborAlice,ALICE
ALICE/BTC,MyNeighborAlice,ALICE
ALPHA/USDT,Stella,ALPHA
ALPINE/USDT,Alpine F1 Team Fan Token,ALPINE
ALT/USDT,AptosLaunch Token,ALT
AMB/USDT,AirDAO,AMB
AMB/ETH,AirDAO,AMB
AMB/BTC,AirDAO,AMB
AMP/USDT,Amp,AMP
AMPL/ETH,Ampleforth,AMPL
AMPL/USDT,Ampleforth,AMPL
AMPL/BTC,Ampleforth,AMPL
AMU/USDT,Amulet,AMU
ANALOS/USDT,analoS,ANALOS
ANKR/USDT,Ankr,ANKR
ANKR/BTC,Ankr,ANKR
