pair,name,base
1INCH/USDT,1inch Network,1INCH
1SOL/USDT,1Sol,1SOL
3P/USDT,Web3Camp,3P
5IRE/USDT,5ire,5IRE
AAVE/USDT,Aave,AAVE
ACA/USDT,Acala Token,ACA
ACH/USDT,Alchemy Pay,ACH
ACM/USDT,AC Milan Fan Token,ACM
ACS/USDT,Access Protocol,ACS
ADA/EUR,Cardano,ADA
AEG/USDT,Aether Games,AEG
AFC/USDT,Arsenal Fan Token,AFC
AFG/USDT,Army of Fortune Gem,AFG
AGI/USDT,Delysium,AGI
AGIX/USDT,SingularityNET,AGIX
AGLA/USDT,Angola,AGLA
AGLD/USDT,Adventure Gold,AGLD
AIOZ/USDT,AIOZ Network,AIOZ
AKI/USDT,Aki Network,AKI
ALGO/USDT,Algorand,ALGO
ALT/USDT,Altlayer,ALT
ANKR/USDT,Ankr,ANKR
APE/USDT,ApeCoin,APE
APEX/USDC,ApeX Protocol,APEX
APP/USDT,Moon App,APP
APT/USDC,Aptos,APT
AR/USDT,Arweave,AR
ARB/USDT,Arbitrum,ARB
ARKM/USDT,Arkham,ARKM
ARTY/USDT,Artyfact,ARTY
ATOM/USDT,Cosmos,ATOM
AVA/USDT,AVA,AVA
AVAX/USDC,Avalanche,AVAX
AXL/USDT,Axelar,AXL
AXS/USDT,Axie Infinity,AXS
AZY/USDT,Amazy,AZY
BabyDoge/USDT,Baby Doge Coin,BABYDOGE
BAR/USDT,FC Barcelona Fan Token,BAR
BAT/USDT,Basic Attention Token,BAT
BBL/USDT,beoble,BBL
BCH/USDT,Bitcoin Cash,BCH
BCUT/USDT,bitsCrunch,BCUT
BEAM/USDT,Beam,BEAM
BEL/USDT,Bella Protocol,BEL
BICO/USDT,Biconomy,BICO
BLUR/USDT,Blur,BLUR
BNB/USDT,BNB,BNB
BNT/USDT,Bancor,BNT
BOB/USDT,BOB,BOB
BOBA/USDT,Boba Network,BOBA
BONK/USDT,Bonk,BONK
BTC/USDT,Bitcoin,BTC
BTG/USDT,Bitcoin Gold,BTG
BTT/USDT,BitTorrent (New),BTT
C98/USDT,Coin98,C98
CAKE/USDT,PancakeSwap,CAKE
CANDY/USDT,Candy Pocket,CANDY
CAPO/USDT,IL CAPO OF CRYPTO,CAPO
CAPS/USDT,Ternoa,CAPS
CAT/USDT,Cyber Arena,CAT
CBK/USDT,Cobak Token,CBK
CBX/USDT,CropBytes,CBX
CEL/USDT,Celsius,CEL
CELO/USDT,Celo,CELO
CGPT/USDT,ChainGPT,CGPT
CHRP/USDT,Chirpley,CHRP
CHZ/USDC,Chiliz,CHZ
CITY/USDT,Manchester City Fan Token,CITY
CMP/USDT,Caduceus,CMP
CO/USDT,Corite,CO
COM/USDT,BRC20.com,COM
COMP/USDT,Compound,COMP
COQ/USDT,Coq Inu,COQ
CORE/USDT,Core,CORE
COT/USDT,Cosplay Token,COT
CPOOL/USDT,Clearpool,CPOOL
CRDS/USDT,Cradles,CRDS
CRV/USDT,Curve DAO Token,CRV
CSPR/USDT,Casper,CSPR
CTC/USDT,Creditcoin,CTC
CTT/USDT,Cashtree Token,CTT
CULT/USDT,Cult DAO,CULT
CUSD/USDT,Celo Dollar,CUSD
CWAR/USDT,Cryowar,CWAR
CYBER/USDT,CyberConnect,CYBER
DAI/USDT,Dai,DAI
DCR/USDT,Decred,DCR
DECHAT/USDT,Dechat,DECHAT
DEFI/USDT,DeFi,DEFI
DEFY/USDT,DEFY,DEFY
DEVT/USDT,Decentralized Eternal Virtual Traveller,DEVT
DFI/USDT,DeFiChain,DFI
DGB/USDT,DigiByte,DGB
DICE/USDT,Klaydice,DICE
DLC/USDT,Diamond Launch,DLC
DMAIL/USDT,DMAIL Network,DMAIL
DOGE/USDT,Dogecoin,DOGE
DOME/USDT,Everdome,DOME
DOT/USDC,Polkadot,DOT
DPX/USDT,Dopex,DPX
DSRUN/USDT,Derby Stars,DSRUN
DUEL/USDT,GameGPT,DUEL
DYDX/USDT,dYdX (ethDYDX),DYDX
DYM/USDT,Dymension,DYM
DZOO/USDT,Degen Zoo,DZOO
ECOX/USDT,ECOx,ECOX
EGLD/USDT,MultiversX,EGLD
EGO/USDT,EGO,EGO
ELDA/USDT,Eldarune,ELDA
ELT/USDT,Element.Black,ELT
ENJ/USDT,Enjin Coin,ENJ
ENS/USDT,Ethereum Name Service,ENS
EOS/USDT,EOS,EOS
ERTHA/USDT,Ertha,ERTHA
ETC/USDT,Ethereum Classic,ETC
ETH/BTC,Ethereum,ETH
ETHW/USDT,EthereumPoW,ETHW
EVER/USDT,Everscale,EVER
FAME/USDT,Fame MMA,FAME
FAR/USDT,Farcana,FAR
FB/USDT,Fenerbahçe Token,FB
FET/USDT,Fetch.ai,FET
FIDA/USDT,Bonfida,FIDA
FIL/USDC,Filecoin,FIL
FIRE/USDT,Matr1x Fire,FIRE
FITFI/USDT,Step App,FITFI
FLIP/USDT,Chainflip,FLIP
FLOKI/USDT,FLOKI,FLOKI
FLOW/USDT,Flow,FLOW
FLR/USDT,Flare,FLR
FMB/USDT,Flappymoonbird,FMB
FMC/USDT,Fame AI,FMC
FON/USDT,INOFI,FON
FORT/USDT,Forta,FORT
FTM/USDT,Fantom,FTM
FTT/USDT,FTX Token,FTT
FXS/USDT,Frax Share,FXS
GAL/USDT,Galxe,GAL
GALA/USDT,Gala,GALA
GALFT/USDT,Galatasaray Fan Token,GALFT
GCAKE/USDT,Pancake Games,GCAKE
GENE/USDT,Genopets,GENE
GG/USDT,Reboot,GG
GGM/USDT,Monster Galaxy,GGM
GLMR/USDT,Moonbeam,GLMR
GM/USDT,GM Wagmi,GM
GMT/USDC,GMT,GMT
GMX/USDT,GMX,GMX
GNS/USDT,Gains Network,GNS
GODS/USDT,Gods Unchained,GODS
GPT/USDT,LayerAI,GPT
GRAPE/USDT,GrapeCoin,GRAPE
GRT/USDT,The Graph,GRT
GST/USDT,Green Satoshi Token (SOL),GST
GSTS/USDT,Gunstar Metaverse,GSTS
GSWIFT/USDT,GameSwift,GSWIFT
GTAI/USDT,GT Protocol,GTAI
HBAR/USDT,Hedera,HBAR
HERO/USDT,Metahero,HERO
HFT/USDC,Hashflow,HFT
HNT/USDT,Helium,HNT
HON/USDT,Soul Society,HON
HOOK/USDT,Hooked Protocol,HOOK
HOT/USDT,Holo,HOT
HTX/USDT,HTX,HTX
HVH/USDT,HAVAH,HVH
ICP/USDT,Internet Computer,ICP
ICX/USDT,ICON,ICX
ID/USDT,SPACE ID,ID
IMX/USDT,Immutable,IMX
INJ/USDT,Injective,INJ
INSP/USDT,Inspect,INSP
INTER/USDT,Inter Milan Fan Token,INTER
IRL/USDT,Rebase GG,IRL
IZI/USDT,Izumi Finance,IZI
JASMY/USDT,JasmyCoin,JASMY
JEFF/USDT,Jeff World,JEFF
JST/USDT,JUST,JST
JTO/USDT,Jito,JTO
JUP/USDT,Jupiter,JUP
JUV/USDT,Juventus Fan Token,JUV
KARATE/USDT,Karate Combat,KARATE
KAS/USDT,Kaspa,KAS
KASTA/USDT,Kasta,KASTA
KAVA/USDT,Kava,KAVA
KCAL/USDT,KCAL,KCAL
KCS/USDT,KuCoin Token,KCS
KDA/USDT,Kadena,KDA
KLAY/USDT,Klaytn,KLAY
KMON/USDT,Kryptomon,KMON
KOK/USDT,KOK,KOK
KON/USDT,KONPAY,KON
KRL/USDT,Kryll,KRL
KSM/USDT,Kusama,KSM
KUB/USDT,Bitkub Coin,KUB
KUNCI/USDT,Kunci Coin,KUNCI
LADYS/USDT,Milady Meme Coin,LADYS
LDO/USDC,Lido DAO,LDO
LENDS/USDT,Lends,LENDS
LEVER/USDT,LeverFi,LEVER
LFW/USDT,Linked Finance World,LFW
LGX/USDT,Legion Network,LGX
LING/USDT,Lingose,LING
LINK/USDC,Chainlink,LINK
LIS/USDT,Realis Network,LIS
LMWR/USDT,LimeWire,LMWR
LOOKS/USDT,LooksRare,LOOKS
LRC/USDT,Loopring,LRC
LTC/BTC,Litecoin,LTC
LUNA/USDT,Terra,LUNA
LUNC/USDT,Terra Classic,LUNC
MAGIC/USDT,Treasure,MAGIC
MANA/USDT,Decentraland,MANA
MANTA/USDT,Manta Network,MANTA
MASK/USDT,Mask Network,MASK
MATIC/BTC,Polygon,MATIC
MAVIA/USDT,Heroes of Mavia,MAVIA
MBOX/USDT,MOBOX,MBOX
MBS/USDT,UNKJD,MBS
MBX/USDT,MARBLEX,MBX
MCRT/USDT,MagicCraft,MCRT
MCT/USDT,Mundocrypto,MCT
MDAO/USDT,MarsDAO,MDAO
MEE/USDT,Medieval Empires,MEE
MELOS/USDT,Melos Studio,MELOS
MEME/USDT,Memecoin,MEME
METH/ETH,Mantle Staked Ether,METH
MIBR/USDT,MIBR Fan Token,MIBR
MINA/USDT,Mina,MINA
MINU/USDT,Mantle Inu,MINU
MIX/USDT,MixMarvel,MIX
MKR/USDT,Maker,MKR
MLK/USDT,MiL.k,MLK
MMC/USDT,Monopoly Millionaire Control,MMC
MNT/USDC,Mantle,MNT
MNZ/USDT,Menzy,MNZ
MOVEZ/USDT,MOVEZ,MOVEZ
MOVR/USDT,Moonriver,MOVR
MPLX/USDT,Metaplex,MPLX
MTK/USDT,Metatoken,MTK
MUSD/USDT,Mantle USD,MUSD
MV/USDT,GensoKishi Metaverse,MV
MVL/USDT,MVL,MVL
MX/USDT,MX TOKEN,MX
MXM/USDT,MixMob,MXM
MYRIA/USDT,Myria,MYRIA
MYRO/USDT,Myro,MYRO
NEAR/USDT,NEAR Protocol,NEAR
NEON/USDT,Neon EVM,NEON
NESS/USDT,Ness LAB,NESS
NEXO/USDT,Nexo,NEXO
NEXT/USDT,Connext Network,NEXT
NFT/USDT,APENFT,NFT
NYM/USDT,NYM,NYM
OAS/USDT,Oasys,OAS
OBX/USDT,OpenBlox,OBX
OKG/USDT,Ookeenga,OKG
OMG/USDT,OMG Network,OMG
OMN/USDT,Omega Network,OMN
OMNI/USDT,OmniCat,OMNI
ONDO/USDT,Ondo,ONDO
ONE/USDT,Harmony,ONE
OP/USDC,Optimism,OP
ORDI/USDT,ORDI,ORDI
ORT/USDT,Okratech Token,ORT
PAXG/USDT,PAX Gold,PAXG
PENDLE/USDT,Pendle,PENDLE
PEOPLE/USDT,ConstitutionDAO,PEOPLE
PEPE/USDT,Pepe,PEPE
PERP/USDT,Perpetual Protocol,PERP
PIP/USDT,Pip,PIP
PLANET/USDT,PLANET,PLANET
PLAY/USDT,Play Token,PLAY
PLT/USDT,PLT,PLT
PLY/USDT,Aurigami,PLY
POKT/USDT,Pocket Network,POKT
POL/USDT,Polygon Ecosystem Token,POL
PORT3/USDT,Port3 Network,PORT3
PORTAL/USDT,Portal,PORTAL
PPT/USDT,Pop Social,PPT
PRIMAL/USDT,PRIMAL,PRIMAL
