pair,name,base
ARRR/USDT,Pirate Chain,ARRR
ATOM/USDT,Cosmos,ATOM
AVAX/USDT,Avalanche,AVAX
BEAM/USDT,Beam,BEAM
BLOCX/USDT,BLOCX.,BLOCX
BNB/USDT,BNB,BNB
BTC/USDT,Bitcoin,BTC
CATE/USDT,CateCoin,CATE
CLORE/USDT,Clore.ai,CLORE
DGB/USDT,DigiByte,DGB
DOGE/USDT,TOOLY I Am King,DOGE
DOT/USDT,Polkadot,DOT
ETC/USDT,Ethereum Classic,ETC
ETH/BTC,Ethereum,ETH
ETH/USDT,Ethereum,ETH
FACT/USDT,FACT0RN,FACT
FIRO/USDT,Firo,FIRO
FLUX/USDT,Flux,FLUX
FTM/USDT,Fantom,FTM
GHOST/BTC,Ghost,GHOST
GPN/USDT,Gamepass Network,GPN
GRIN/USDT,Grin,GRIN
LINK/USDT,Chainlink,LINK
MKR/USDT,Maker,MKR
OSMO/USDT,Osmosis,OSMO
PYI/USDT,PYRIN,PYI
QUBIC/USDT,Qubic,QUBIC
RDD/USDT,ReddCoin,RDD
SCP/BTC,ScPrime,SCP
SCP/USDT,ScPrime,SCP
SDR/LTC,SedraCoin,SDR
SDR/USDT,SedraCoin,SDR
SHIB/USDT,Shiba Inu,SHIB
TAO/USDT,Bittensor,TAO
TIA/USDT,Celestia,TIA
VTC/USDT,Vertcoin,VTC
WOW/USDT,Wownero,WOW
WOW/BTC,Wownero,WOW
XHV/USDT,Haven Protocol,XHV
XMR/BTC,Monero,XMR
XMR/USDT,Monero,XMR
XNA/USDT,Neurai,XNA
XRP/BTC,XRP,XRP
XRP/USDT,XRP,XRP
ZEC/USDT,Zcash,ZEC
