pair,name,base
1INCH/USD,1inch Network,1INCH
1INCH/EUR,1inch Network,1INCH
AAVE/ETH,Aave,AAVE
AAVE/XBT,Aave,AAVE
AAVE/USD,Aave,AAVE
AAVE/EUR,Aave,AAVE
ACH/EUR,Alchemy Pay,ACH
ACH/USD,Alchemy Pay,ACH
ADA/GBP,Cardano,ADA
ADA/USDT,Cardano,ADA
ADA/USD,Cardano,ADA
ADA/XBT,Cardano,ADA
ADA/ETH,Cardano,ADA
ADA/EUR,Cardano,ADA
AKT/EUR,Akash Network,AKT
AKT/USD,Akash Network,AKT
ALGO/EUR,Algorand,ALGO
ALGO/USD,Algorand,ALGO
ALGO/XBT,Algorand,ALGO
ALGO/USDT,Algorand,ALGO
ANKR/EUR,Ankr,ANKR
ANKR/USD,Ankr,ANKR
ANT/EUR,Aragon,ANT
ANT/USD,Aragon,ANT
APE/USD,ApeCoin,APE
APE/EUR,ApeCoin,APE
API3/USD,API3,API3
APT/USD,Aptos,APT
APT/EUR,Aptos,APT
ARB/USD,Arbitrum,ARB
ARB/EUR,Arbitrum,ARB
ASTR/USD,Astar,ASTR
ATLAS/USD,Star Atlas,ATLAS
ATOM/EUR,Cosmos,ATOM
ATOM/XBT,Cosmos,ATOM
ATOM/ETH,Cosmos,ATOM
ATOM/GBP,Cosmos,ATOM
ATOM/USD,Cosmos,ATOM
ATOM/USDT,Cosmos,ATOM
AVAX/EUR,Avalanche,AVAX
AVAX/USDT,Avalanche,AVAX
AVAX/USD,Avalanche,AVAX
AXS/USD,Axie Infinity,AXS
BAND/USD,Band Protocol,BAND
BAND/EUR,Band Protocol,BAND
BAT/USD,Basic Attention Token,BAT
BAT/EUR,Basic Attention Token,BAT
BCH/EUR,Bitcoin Cash,BCH
BCH/USDT,Bitcoin Cash,BCH
BCH/USD,Bitcoin Cash,BCH
BCH/XBT,Bitcoin Cash,BCH
BLUR/USD,Blur,BLUR
BNC/USD,Bifrost,BNC
BOBA/USD,Boba Network,BOBA
BONK/EUR,Bonk,BONK
BONK/USD,Bonk,BONK
BTT/USD,BitTorrent (New),BTT
CFG/USD,Centrifuge,CFG
CHZ/EUR,Chiliz,CHZ
CHZ/USD,Chiliz,CHZ
COMP/EUR,Compound,COMP
COMP/USD,Compound,COMP
COTI/USD,COTI,COTI
COTI/EUR,COTI,COTI
CQT/USD,Covalent,CQT
CRV/USD,Curve DAO Token,CRV
CRV/EUR,Curve DAO Token,CRV
CRV/XBT,Curve DAO Token,CRV
CSM/EUR,Crust Shadow,CSM
CSM/USD,Crust Shadow,CSM
CTSI/USD,Cartesi,CTSI
DAI/USD,Dai,DAI
DAI/USDT,Dai,DAI
DAI/EUR,Dai,DAI
DOT/EUR,Polkadot,DOT
DOT/XBT,Polkadot,DOT
DOT/ETH,Polkadot,DOT
DOT/USDT,Polkadot,DOT
DOT/USD,Polkadot,DOT
DOT/GBP,Polkadot,DOT
DYDX/USD,dYdX (ethDYDX),DYDX
DYDX/EUR,dYdX (ethDYDX),DYDX
DYM/EUR,Dymension,DYM
DYM/USD,Dymension,DYM
EGLD/EUR,MultiversX,EGLD
EGLD/USD,MultiversX,EGLD
ENJ/USD,Enjin Coin,ENJ
ENJ/EUR,Enjin Coin,ENJ
ENS/USD,Ethereum Name Service,ENS
EOS/EUR,EOS,EOS
EOS/USDT,EOS,EOS
EOS/USD,EOS,EOS
EOS/XBT,EOS,EOS
ETC/USD,Ethereum Classic,ETC
ETC/EUR,Ethereum Classic,ETC
ETH/CHF,Ethereum,ETH
ETH/XBT,Ethereum,ETH
ETH/AUD,Ethereum,ETH
ETH/USDT,Ethereum,ETH
ETH/GBP,Ethereum,ETH
ETH/DAI,Ethereum,ETH
ETH/EUR,Ethereum,ETH
ETH/CAD,Ethereum,ETH
ETH/USD,Ethereum,ETH
ETH/USDC,Ethereum,ETH
ETH/PYUSD,Ethereum,ETH
ETHW/USD,EthereumPoW,ETHW
ETHW/EUR,EthereumPoW,ETHW
EWT/EUR,Energy Web Token,EWT
EWT/USD,Energy Web Token,EWT
FET/USD,Fetch.ai,FET
FET/EUR,Fetch.ai,FET
FIDA/USD,Bonfida,FIDA
FIL/EUR,Filecoin,FIL
FIL/XBT,Filecoin,FIL
FIL/GBP,Filecoin,FIL
FIL/USD,Filecoin,FIL
FIS/USD,StaFi,FIS
FLOW/XBT,Flow,FLOW
FLOW/EUR,Flow,FLOW
FLOW/USD,Flow,FLOW
FLR/USD,Flare,FLR
FLR/EUR,Flare,FLR
FTM/EUR,Fantom,FTM
FTM/USD,Fantom,FTM
FXS/USD,Frax Share,FXS
FXS/EUR,Frax Share,FXS
GALA/USD,Gala,GALA
GALA/EUR,Gala,GALA
GLMR/EUR,Moonbeam,GLMR
GLMR/USD,Moonbeam,GLMR
GMT/USD,GMT,GMT
GMX/USD,GMX,GMX
GNO/USD,Gnosis,GNO
GRT/USD,The Graph,GRT
GRT/EUR,The Graph,GRT
GRT/XBT,The Graph,GRT
GST/USD,Green Satoshi Token (SOL),GST
GST/EUR,Green Satoshi Token (SOL),GST
GTC/USD,Gitcoin,GTC
HFT/USD,Hashflow,HFT
ICP/USD,Internet Computer,ICP
ICP/EUR,Internet Computer,ICP
ICX/USD,ICON,ICX
IMX/EUR,Immutable,IMX
IMX/USD,Immutable,IMX
INJ/EUR,Injective,INJ
INJ/USD,Injective,INJ
JASMY/EUR,JasmyCoin,JASMY
JASMY/USD,JasmyCoin,JASMY
JTO/USD,Jito,JTO
JTO/EUR,Jito,JTO
JUP/EUR,Jupiter,JUP
JUP/USD,Jupiter,JUP
KAR/USD,Karura,KAR
KAVA/EUR,Kava,KAVA
KEY/EUR,SelfKey,KEY
KEY/USD,SelfKey,KEY
KILT/USD,KILT Protocol,KILT
KIN/USD,Kin,KIN
KINT/USD,Kintsugi,KINT
KSM/USD,Kusama,KSM
KSM/XBT,Kusama,KSM
KSM/EUR,Kusama,KSM
LCX/USD,LCX,LCX
LCX/EUR,LCX,LCX
LDO/EUR,Lido DAO,LDO
LDO/USD,Lido DAO,LDO
LINK/USD,Chainlink,LINK
LINK/EUR,Chainlink,LINK
LINK/XBT,Chainlink,LINK
LINK/GBP,Chainlink,LINK
LINK/USDT,Chainlink,LINK
LINK/ETH,Chainlink,LINK
LPT/USD,Livepeer,LPT
LRC/USD,Loopring,LRC
LRC/EUR,Loopring,LRC
LSK/USD,Lisk,LSK
LSK/EUR,Lisk,LSK
LTC/USD,Litecoin,LTC
LTC/USDT,Litecoin,LTC
LTC/EUR,Litecoin,LTC
LTC/GBP,Litecoin,LTC
LTC/XBT,Litecoin,LTC
LUNA/EUR,Terra Classic,LUNA
LUNA/USD,Terra Classic,LUNA
LUNA2/EUR,Terra,LUNA2
LUNA2/USD,Terra,LUNA2
MANA/USD,Decentraland,MANA
MANA/EUR,Decentraland,MANA
MASK/USD,Mask Network,MASK
MATIC/USD,Polygon,MATIC
MATIC/XBT,Polygon,MATIC
MATIC/EUR,Polygon,MATIC
MATIC/GBP,Polygon,MATIC
MATIC/USDT,Polygon,MATIC
MINA/EUR,Mina,MINA
MINA/USD,Mina,MINA
MIR/EUR,Mirror Protocol,MIR
MIR/USD,Mirror Protocol,MIR
MKR/USD,Maker,MKR
MOON/USD,r/CryptoCurrency Moons,MOON
MOVR/USD,Moonriver,MOVR
MOVR/EUR,Moonriver,MOVR
MSOL/USD,Marinade Staked SOL,MSOL
MXC/EUR,MXC,MXC
MXC/USD,MXC,MXC
NANO/USD,Nano,NANO
NANO/EUR,Nano,NANO
NEAR/USD,NEAR Protocol,NEAR
NEAR/EUR,NEAR Protocol,NEAR
OCEAN/XBT,Ocean Protocol,OCEAN
OCEAN/USD,Ocean Protocol,OCEAN
OCEAN/EUR,Ocean Protocol,OCEAN
OMG/USD,OMG Network,OMG
OP/EUR,Optimism,OP
OP/USD,Optimism,OP
ORCA/USD,Orca,ORCA
PAXG/EUR,PAX Gold,PAXG
PAXG/XBT,PAX Gold,PAXG
PAXG/USD,PAX Gold,PAXG
PEPE/EUR,Pepe,PEPE
PEPE/USD,Pepe,PEPE
PHA/EUR,Phala Network,PHA
PHA/USD,Phala Network,PHA
POLIS/USD,Star Atlas DAO,POLIS
PSTAKE/USD,pSTAKE Finance,PSTAKE
PYTH/USD,Pyth Network,PYTH
PYTH/EUR,Pyth Network,PYTH
PYUSD/USD,PayPal USD,PYUSD
QNT/USD,Quant,QNT
QNT/EUR,Quant,QNT
QTUM/USD,Qtum,QTUM
RAD/USD,Radworks,RAD
RAY/USD,Raydium,RAY
RAY/EUR,Raydium,RAY
RLC/USD,iExec RLC,RLC
RNDR/EUR,Render,RNDR
RNDR/USD,Render,RNDR
ROOK/EUR,Rook,ROOK
ROOK/USD,Rook,ROOK
RUNE/EUR,THORChain,RUNE
RUNE/USD,THORChain,RUNE
SAMO/USD,Samoyedcoin,SAMO
SAND/USD,The Sandbox,SAND
SAND/EUR,The Sandbox,SAND
SBR/USD,Saber,SBR
SC/EUR,Siacoin,SC
SC/USD,Siacoin,SC
SCRT/USD,Secret,SCRT
SEI/USD,Sei,SEI
SEI/EUR,Sei,SEI
SGB/USD,Songbird,SGB
SHIB/USDT,Shiba Inu,SHIB
SHIB/EUR,Shiba Inu,SHIB
SHIB/USD,Shiba Inu,SHIB
SNX/USD,Synthetix,SNX
SNX/EUR,Synthetix,SNX
SOL/USDT,Solana,SOL
SOL/USD,Solana,SOL
SOL/EUR,Solana,SOL
SOL/GBP,Solana,SOL
SOL/XBT,Solana,SOL
SPELL/USD,Spell Token,SPELL
SRM/USD,Serum,SRM
STORJ/USD,Storj,STORJ
STORJ/EUR,Storj,STORJ
STRK/USD,Starknet,STRK
STRK/EUR,Starknet,STRK
STX/EUR,Stacks,STX
STX/USD,Stacks,STX
SUI/USD,Sui,SUI
SUI/EUR,Sui,SUI
SUPER/EUR,SuperVerse,SUPER
SUPER/USD,SuperVerse,SUPER
SUSHI/EUR,SushiSwap,SUSHI
SUSHI/USD,SushiSwap,SUSHI
SYN/USD,Synapse,SYN
TIA/EUR,Celestia,TIA
TIA/USD,Celestia,TIA
TRX/USD,TRON,TRX
TRX/XBT,TRON,TRX
TRX/EUR,TRON,TRX
TRX/EUR,TRON,TRX
TRX/ETH,TRON,TRX
TVK/USD,Vanar Chain,TVK
UNI/XBT,Uniswap,UNI
UNI/USD,Uniswap,UNI
UNI/ETH,Uniswap,UNI
UNI/EUR,Uniswap,UNI
USDC/EUR,USDC,USDC
USDC/AUD,USDC,USDC
USDC/USDT,USDC,USDC
USDC/USD,USDC,USDC
USDC/CHF,USDC,USDC
USDC/GBP,USDC,USDC
USDC/CAD,USDC,USDC
USDT/CHF,Tether USDt,USDT
USDT/USD,Tether USDt,USDT
USDT/AUD,Tether USDt,USDT
USDT/GBP,Tether USDt,USDT
USDT/EUR,Tether USDt,USDT
USDT/CAD,Tether USDt,USDT
WAVES/EUR,Waves,WAVES
WAVES/USD,Waves,WAVES
WAXL/USD,Axelar,WAXL
WBTC/XBT,Wrapped Bitcoin,WBTC
WIF/USD,dogwifhat,WIF
WIF/EUR,dogwifhat,WIF
WOO/EUR,WOO,WOO
WOO/USD,WOO,WOO
XBT/EUR,Bitcoin,XBT
XBT/AUD,Bitcoin,XBT
XBT/CHF,Bitcoin,XBT
XBT/USDT,Bitcoin,XBT
XBT/USD,Bitcoin,XBT
XBT/DAI,Bitcoin,XBT
XBT/USDC,Bitcoin,XBT
XBT/GBP,Bitcoin,XBT
XBT/CAD,Bitcoin,XBT
XCN/USD,Onyxcoin,XCN
XDG/USD,Dogecoin,XDG
XDG/USDT,Dogecoin,XDG
XDG/XBT,Dogecoin,XDG
XDG/EUR,Dogecoin,XDG
XLM/XBT,Stellar,XLM
XLM/USD,Stellar,XLM
XLM/EUR,Stellar,XLM
