pair,name,base
1000SATS/FDUSD,SATS,1000SATS
1000SATS/TRY,SATS,1000SATS
1000SATS/USDT,SATS,1000SATS
1INCH/USDT,1inch Network,1INCH
1INCH/BTC,1inch Network,1INCH
AAVE/BTC,Aave,AAVE
AAVE/BNB,Aave,AAVE
AAVE/ETH,Aave,AAVE
AAVE/USDT,Aave,AAVE
ACA/TRY,Acala Token,ACA
ACA/BTC,Acala Token,ACA
ACA/USDT,Acala Token,ACA
ACE/BTC,Fusionist,ACE
ACE/BNB,Fusionist,ACE
ACE/FDUSD,Fusionist,ACE
ACE/TRY,Fusionist,ACE
ACE/USDT,Fusionist,ACE
ACH/USDT,Alchemy Pay,ACH
ACH/TRY,Alchemy Pay,ACH
ACH/BTC,Alchemy Pay,ACH
ACM/USDT,AC Milan Fan Token,ACM
ACM/TRY,AC Milan Fan Token,ACM
ADA/USDT,Cardano,ADA
ADA/USDC,Cardano,ADA
ADA/TUSD,Cardano,ADA
ADA/BNB,Cardano,ADA
ADA/EUR,Cardano,ADA
ADA/BTC,Cardano,ADA
ADA/FDUSD,Cardano,ADA
ADA/TRY,Cardano,ADA
ADA/ETH,Cardano,ADA
ADA/BRL,Cardano,ADA
ADX/ETH,AdEx,ADX
ADX/BTC,AdEx,ADX
ADX/USDT,AdEx,ADX
AERGO/USDT,Aergo,AERGO
AERGO/BTC,Aergo,AERGO
AEUR/USDT,Anchored Coins AEUR,AEUR
AGIX/FDUSD,SingularityNET,AGIX
AGIX/BTC,SingularityNET,AGIX
AGIX/USDT,SingularityNET,AGIX
AGIX/TRY,SingularityNET,AGIX
AGLD/BTC,Adventure Gold,AGLD
AGLD/USDT,Adventure Gold,AGLD
AI/BTC,Sleepless AI,AI
AI/BNB,Sleepless AI,AI
AI/FDUSD,Sleepless AI,AI
AI/TUSD,Sleepless AI,AI
AI/TRY,Sleepless AI,AI
AI/USDT,Sleepless AI,AI
AKRO/USDT,Akropolis,AKRO
ALCX/USDT,Alchemix,ALCX
ALCX/BTC,Alchemix,ALCX
ALGO/TRY,Algorand,ALGO
ALGO/BTC,Algorand,ALGO
ALGO/USDT,Algorand,ALGO
ALGO/FDUSD,Algorand,ALGO
ALGO/ETH,Algorand,ALGO
ALGO/BNB,Algorand,ALGO
ALICE/USDT,MyNeighborAlice,ALICE
ALICE/TRY,MyNeighborAlice,ALICE
ALICE/BTC,MyNeighborAlice,ALICE
ALPACA/USDT,Alpaca Finance,ALPACA
ALPACA/BTC,Alpaca Finance,ALPACA
ALPHA/BTC,Stella,ALPHA
ALPHA/USDT,Stella,ALPHA
ALPINE/TRY,Alpine F1 Team Fan Token,ALPINE
ALPINE/USDT,Alpine F1 Team Fan Token,ALPINE
ALPINE/BTC,Alpine F1 Team Fan Token,ALPINE
ALPINE/EUR,Alpine F1 Team Fan Token,ALPINE
ALT/FDUSD,Altlayer,ALT
ALT/USDT,Altlayer,ALT
ALT/USDC,Altlayer,ALT
ALT/BTC,Altlayer,ALT
ALT/BNB,Altlayer,ALT
ALT/TRY,Altlayer,ALT
AMB/USDT,AirDAO,AMB
AMB/BTC,AirDAO,AMB
AMP/TRY,Amp,AMP
AMP/USDT,Amp,AMP
ANKR/USDT,Ankr,ANKR
ANKR/BTC,Ankr,ANKR
ANKR/TRY,Ankr,ANKR
APE/BTC,ApeCoin,APE
APE/USDT,ApeCoin,APE
APE/TRY,ApeCoin,APE
APE/ETH,ApeCoin,APE
API3/USDT,API3,API3
API3/TRY,API3,API3
APT/ETH,Aptos,APT
APT/EUR,Aptos,APT
APT/USDT,Aptos,APT
APT/TRY,Aptos,APT
APT/BTC,Aptos,APT
APT/FDUSD,Aptos,APT
AR/TRY,Arweave,AR
AR/BTC,Arweave,AR
AR/USDT,Arweave,AR
ARB/BTC,Arbitrum,ARB
ARB/TUSD,Arbitrum,ARB
ARB/EUR,Arbitrum,ARB
ARB/FDUSD,Arbitrum,ARB
ARB/USDC,Arbitrum,ARB
ARB/TRY,Arbitrum,ARB
ARB/ETH,Arbitrum,ARB
ARB/USDT,Arbitrum,ARB
ARDR/USDT,Ardor,ARDR
ARDR/BTC,Ardor,ARDR
ARK/USDT,Ark,ARK
ARK/TRY,Ark,ARK
ARKM/BNB,Arkham,ARKM
ARKM/TUSD,Arkham,ARKM
ARKM/BTC,Arkham,ARKM
ARKM/TRY,Arkham,ARKM
ARKM/USDT,Arkham,ARKM
ARPA/BTC,ARPA,ARPA
ARPA/BNB,ARPA,ARPA
ARPA/USDT,ARPA,ARPA
ARPA/TRY,ARPA,ARPA
ASR/TRY,AS Roma Fan Token,ASR
ASR/USDT,AS Roma Fan Token,ASR
AST/USDT,AirSwap,AST
ASTR/USDT,Astar,ASTR
ASTR/BTC,Astar,ASTR
ATA/BTC,Automata Network,ATA
ATA/USDT,Automata Network,ATA
ATM/TRY,Atletico De Madrid Fan Token,ATM
ATM/USDT,Atletico De Madrid Fan Token,ATM
ATOM/ETH,Cosmos,ATOM
ATOM/TRY,Cosmos,ATOM
ATOM/EUR,Cosmos,ATOM
ATOM/USDT,Cosmos,ATOM
ATOM/FDUSD,Cosmos,ATOM
ATOM/BNB,Cosmos,ATOM
ATOM/BTC,Cosmos,ATOM
AUCTION/FDUSD,Bounce Token,AUCTION
AUCTION/USDT,Bounce Token,AUCTION
AUCTION/BTC,Bounce Token,AUCTION
AUDIO/USDT,Audius,AUDIO
AUDIO/BTC,Audius,AUDIO
AUDIO/TRY,Audius,AUDIO
AVA/BTC,AVA,AVA
AVA/USDT,AVA,AVA
AVAX/BRL,Avalanche,AVAX
AVAX/EUR,Avalanche,AVAX
AVAX/ETH,Avalanche,AVAX
AVAX/TRY,Avalanche,AVAX
AVAX/USDT,Avalanche,AVAX
AVAX/USDC,Avalanche,AVAX
AVAX/BTC,Avalanche,AVAX
AVAX/TUSD,Avalanche,AVAX
AVAX/FDUSD,Avalanche,AVAX
AVAX/BNB,Avalanche,AVAX
AXL/USDT,Axelar,AXL
AXL/BTC,Axelar,AXL
AXL/FDUSD,Axelar,AXL
AXL/TRY,Axelar,AXL
AXS/ETH,Axie Infinity,AXS
AXS/TRY,Axie Infinity,AXS
AXS/BNB,Axie Infinity,AXS
AXS/USDT,Axie Infinity,AXS
AXS/BTC,Axie Infinity,AXS
BADGER/USDT,Badger DAO,BADGER
BADGER/BTC,Badger DAO,BADGER
BAKE/BNB,BakeryToken,BAKE
BAKE/USDT,BakeryToken,BAKE
BAKE/BTC,BakeryToken,BAKE
BAL/USDT,Balancer,BAL
BAL/BTC,Balancer,BAL
BAND/BTC,Band Protocol,BAND
BAND/TRY,Band Protocol,BAND
BAND/USDT,Band Protocol,BAND
BAR/TRY,FC Barcelona Fan Token,BAR
BAR/USDT,FC Barcelona Fan Token,BAR
BAT/BTC,Basic Attention Token,BAT
BAT/USDT,Basic Attention Token,BAT
BCH/TUSD,Bitcoin Cash,BCH
BCH/EUR,Bitcoin Cash,BCH
BCH/FDUSD,Bitcoin Cash,BCH
BCH/BTC,Bitcoin Cash,BCH
BCH/USDT,Bitcoin Cash,BCH
BCH/TRY,Bitcoin Cash,BCH
BCH/BNB,Bitcoin Cash,BCH
BEAMX/TRY,Beam,BEAMX
BEAMX/USDT,Beam,BEAMX
BEL/TRY,Bella Protocol,BEL
BEL/USDT,Bella Protocol,BEL
BEL/BTC,Bella Protocol,BEL
BETA/BTC,Beta Finance,BETA
BETA/USDT,Beta Finance,BETA
BICO/USDT,Biconomy,BICO
BICO/BTC,Biconomy,BICO
BIFI/USDT,Beefy,BIFI
BLUR/USDT,Blur,BLUR
BLUR/BTC,Blur,BLUR
BLUR/TRY,Blur,BLUR
BLUR/USDC,Blur,BLUR
BLUR/FDUSD,Blur,BLUR
BLZ/USDT,Bluzelle,BLZ
BLZ/FDUSD,Bluzelle,BLZ
BLZ/BTC,Bluzelle,BLZ
BNB/USDC,BNB,BNB
BNB/TRY,BNB,BNB
BNB/FDUSD,BNB,BNB
BNB/BTC,BNB,BNB
BNB/UAH,BNB,BNB
BNB/USDT,BNB,BNB
BNB/BRL,BNB,BNB
