pair,name,base
1INCH/USDT,1inch Network,1INCH
1INCH/USDC,1inch Network,1INCH
1INCH/EUR,1inch Network,1INCH
AAVE/BTC,Aave,AAVE
AAVE/USDC,Aave,AAVE
AAVE/USDT,Aave,AAVE
ACA/USDT,Acala Token,ACA
ACE/USDT,Fusionist,ACE
ACH/USDT,Alchemy Pay,ACH
ADA/USDT,Cardano,ADA
ADA/USDC,Cardano,ADA
ADA/ETH,Cardano,ADA
ADA/BTC,Cardano,ADA
ADA/EUR,Cardano,ADA
AERGO/USDT,Aergo,AERGO
AGIX/USDT,SingularityNET,AGIX
AGLD/USDT,Adventure Gold,AGLD
AGLD/USDC,Adventure Gold,AGLD
AIDOGE/USDT,ArbDoge AI,AIDOGE
AKITA/USDT,Akita Inu,AKITA
ALCX/USDT,Alchemix,ALCX
ALGO/USDT,Algorand,ALGO
ALGO/USDC,Algorand,ALGO
ALPHA/USDT,Stella,ALPHA
ANT/USDT,Aragon,ANT
APE/USDC,ApeCoin,APE
APE/USDT,ApeCoin,APE
API3/USDT,API3,API3
APM/USDT,apM Coin,APM
APT/USDC,Aptos,APT
APT/USDT,Aptos,APT
AR/USDT,Arweave,AR
AR/USDC,Arweave,AR
ARB/USDT,Arbitrum,ARB
ARG/USDT,Argentine Football Association Fan Token,ARG
ARTY/USDT,Artyfact,ARTY
AST/USDT,AirSwap,AST
ASTR/USDC,Astar,ASTR
ASTR/USDT,Astar,ASTR
ATOM/USDT,Cosmos,ATOM
ATOM/BTC,Cosmos,ATOM
ATOM/ETH,Cosmos,ATOM
ATOM/USDC,Cosmos,ATOM
AUCTION/USDT,Bounce Token,AUCTION
AVAX/EUR,Avalanche,AVAX
AVAX/USDT,Avalanche,AVAX
AVAX/USDC,Avalanche,AVAX
AVAX/BTC,Avalanche,AVAX
AVIVE/USDT,Avive World,AVIVE
AXS/USDT,Axie Infinity,AXS
AZY/USDT,Amazy,AZY
BABYDOGE/USDT,Baby Doge Coin,BABYDOGE
BADGER/USDT,Badger DAO,BADGER
BAL/USDT,Balancer,BAL
BAND/USDT,Band Protocol,BAND
BAT/USDT,Basic Attention Token,BAT
BCH/USDC,Bitcoin Cash,BCH
BCH/BTC,Bitcoin Cash,BCH
BCH/USDT,Bitcoin Cash,BCH
BICO/USDT,Biconomy,BICO
BIGTIME/USDT,Big Time,BIGTIME
BLOK/USDT,Bloktopia,BLOK
BLUR/USDT,Blur,BLUR
BLUR/USDC,Blur,BLUR
BNB/USDT,BNB,BNB
BNB/USDC,BNB,BNB
BNT/USDT,Bancor,BNT
BONE/USDT,Bone ShibaSwap,BONE
BONK/USDT,Bonk,BONK
BORA/USDT,BORA,BORA
BORING/USDT,BoringDAO,BORING
BRWL/USDT,Blockchain Brawlers,BRWL
BSV/USDC,Bitcoin SV,BSV
BSV/USDT,Bitcoin SV,BSV
BSV/BTC,Bitcoin SV,BSV
BTC/BRL,Bitcoin,BTC
BTC/TRY,Bitcoin,BTC
BTC/EUR,Bitcoin,BTC
BTC/EURt,Bitcoin,BTC
BTC/DAI,Bitcoin,BTC
BTC/USDT,Bitcoin,BTC
BTC/USDC,Bitcoin,BTC
BTT/USDT,BitTorrent (New),BTT
BZZ/USDT,Swarm,BZZ
CEEK/USDT,CEEK VR,CEEK
CEL/USDT,Celsius,CEL
CEL/USDC,Celsius,CEL
CELO/USDT,Celo,CELO
CELR/USDT,Celer Network,CELR
CETUS/USDT,Cetus Protocol,CETUS
CFG/USDT,Centrifuge,CFG
CFX/USDT,Conflux,CFX
CGL/USDT,Crypto Gladiator Shards,CGL
CHZ/USDT,Chiliz,CHZ
CHZ/USDC,Chiliz,CHZ
CHZ/BTC,Chiliz,CHZ
CITY/USDT,Manchester City Fan Token,CITY
CLV/USDT,CLV,CLV
COMP/USDC,Compound,COMP
COMP/USDT,Compound,COMP
COMP/EUR,Compound,COMP
CONV/USDT,Convergence,CONV
CORE/USDT,Core,CORE
CQT/USDT,Covalent,CQT
CRO/USDT,Cronos,CRO
CRO/BTC,Cronos,CRO
CRO/USDC,Cronos,CRO
CRV/USDC,Curve DAO Token,CRV
CRV/EUR,Curve DAO Token,CRV
CRV/USDT,Curve DAO Token,CRV
CRV/BTC,Curve DAO Token,CRV
CSPR/USDT,Casper,CSPR
CSPR/USDC,Casper,CSPR
CTC/USDT,Creditcoin,CTC
CTXC/USDT,Cortex,CTXC
CVC/USDT,Civic,CVC
CVX/USDT,Convex Finance,CVX
DAI/USDT,Dai,DAI
DAO/USDT,DAO Maker,DAO
DCR/USDT,Decred,DCR
DEP/USDT,DEAPcoin,DEP
DGB/USDT,DigiByte,DGB
DIA/USDT,DIA,DIA
DMAIL/USDT,DMAIL Network,DMAIL
DOGE/USDC,Dogecoin,DOGE
DOGE/BTC,Dogecoin,DOGE
DOGE/ETH,Dogecoin,DOGE
DOGE/USDT,Dogecoin,DOGE
DOGE/EUR,Dogecoin,DOGE
DOSE/USDT,DOSE,DOSE
DOT/USDT,Polkadot,DOT
DOT/BTC,Polkadot,DOT
DOT/USDC,Polkadot,DOT
DOT/EUR,Polkadot,DOT
DYDX/USDC,dYdX (Native),DYDX
DYDX/USDT,dYdX (Native),DYDX
DYDX/EUR,dYdX (Native),DYDX
EGLD/USDT,MultiversX,EGLD
EGLD/USDC,MultiversX,EGLD
ELF/USDT,aelf,ELF
ELON/USDT,Dogelon Mars,ELON
EM/USDT,Eminer,EM
ENJ/USDT,Enjin Coin,ENJ
ENS/USDT,Ethereum Name Service,ENS
EOS/ETH,EOS,EOS
EOS/EUR,EOS,EOS
EOS/USDT,EOS,EOS
EOS/USDC,EOS,EOS
EOS/BTC,EOS,EOS
ERN/USDT,Ethernity,ERN
ETC/BTC,Ethereum Classic,ETC
ETC/USDC,Ethereum Classic,ETC
ETC/USDT,Ethereum Classic,ETC
ETH/DAI,Ethereum,ETH
ETH/USDC,Ethereum,ETH
ETH/EUR,Ethereum,ETH
ETH/TRY,Ethereum,ETH
ETH/BTC,Ethereum,ETH
ETH/BRL,Ethereum,ETH
ETH/EURt,Ethereum,ETH
ETH/USDT,Ethereum,ETH
ETHW/USDC,EthereumPoW,ETHW
ETHW/USDT,EthereumPoW,ETHW
EURt/USDT,Tether EURt,EURT
FET/USDT,Fetch.ai,FET
FIL/USDT,Filecoin,FIL
FIL/ETH,Filecoin,FIL
FIL/BTC,Filecoin,FIL
FIL/USDC,Filecoin,FIL
FITFI/USDT,Step App,FITFI
FLM/USDT,Flamingo,FLM
FLOKI/USDC,FLOKI,FLOKI
FLOKI/USDT,FLOKI,FLOKI
FLOW/USDT,Flow,FLOW
FLR/USDT,Flare,FLR
FLR/USDC,Flare,FLR
FORTH/USDT,Ampleforth Governance Token,FORTH
FRONT/USDT,Frontier,FRONT
FTM/USDT,Fantom,FTM
FTM/USDC,Fantom,FTM
FXS/USDT,Frax Share,FXS
GAL/USDT,Galxe,GAL
GALA/USDC,Gala,GALA
GALA/USDT,Gala,GALA
GALFT/USDT,Galatasaray Fan Token,GALFT
GARI/USDT,Gari Network,GARI
GAS/USDT,Gas,GAS
GEAR/USDT,Gearbox Protocol,GEAR
GF/USDT,GuildFi,GF
GHST/USDT,Aavegotchi,GHST
GLM/USDT,Golem,GLM
GLMR/USDT,Moonbeam,GLMR
GMT/USDT,GMT,GMT
GMX/USDT,GMX,GMX
GOAL/USDT,TopGoal,GOAL
GODS/USDT,Gods Unchained,GODS
GOG/USDT,Guild of Guardians,GOG
GPT/USDT,QnA3.AI,GPT
GRT/USDC,The Graph,GRT
GRT/BTC,The Graph,GRT
GRT/USDT,The Graph,GRT
HBAR/USDT,Hedera,HBAR
HBAR/BTC,Hedera,HBAR
HBAR/USDC,Hedera,HBAR
HC/USDT,HyperCash,HC
ICE/USDT,Ice Network,ICE
ICP/USDC,Internet Computer,ICP
ICP/USDT,Internet Computer,ICP
ICX/USDT,ICON,ICX
ID/USDT,SPACE ID,ID
IGU/USDT,IguVerse,IGU
ILV/USDT,Illuvium,ILV
IMX/USDT,Immutable,IMX
INJ/USDT,Injective,INJ
IOST/USDT,IOST,IOST
IOTA/USDT,IOTA,IOTA
IQ/USDT,IQ,IQ
JOE/USDT,JOE,JOE
JST/USDT,JUST,JST
JTO/USDT,Jito,JTO
JUP/USDT,Jupiter,JUP
KAN/USDT,BitKan,KAN
KAR/USDT,Karura,KAR
KCAL/USDT,KCAL,KCAL
KDA/USDT,Kadena,KDA
KINE/USDT,KINE,KINE
KISHU/USDT,Kishu Inu,KISHU
KLAY/USDT,Klaytn,KLAY
KLAY/USDC,Klaytn,KLAY
KNC/USDT,Kyber Network Crystal v2,KNC
KP3R/USDT,Keep3rV1,KP3R
KSM/USDT,Kusama,KSM
LAMB/USDT,Lambda,LAMB
LAT/USDT,PlatON,LAT
LBR/USDT,Lybra Finance,LBR
LDO/USDT,Lido DAO,LDO
LEASH/USDT,Doge Killer,LEASH
LEO/USDT,UNUS SED LEO,LEO
LET/USDT,LinkEye,LET
LHINU/USDT,Love Hate Inu,LHINU
LING/USDT,Lingose,LING
LINK/BTC,Chainlink,LINK
LINK/USDC,Chainlink,LINK
LINK/USDT,Chainlink,LINK
LINK/EUR,Chainlink,LINK
LINK/ETH,Chainlink,LINK
LITH/USDT,Lithium,LITH
LON/USDT,Tokenlon Network Token,LON
LOOKS/USDC,LooksRare,LOOKS
LOOKS/USDT,LooksRare,LOOKS
LPT/USDT,Livepeer,LPT
LQTY/USDT,Liquity,LQTY
LRC/USDT,Loopring,LRC
LRC/USDC,Loopring,LRC
LSK/USDT,Lisk,LSK
LTC/USDT,Litecoin,LTC
LTC/USDC,Litecoin,LTC
LTC/BTC,Litecoin,LTC
LTC/ETH,Litecoin,LTC
LTC/EUR,Litecoin,LTC
LUNA/USDC,Terra,LUNA
LUNA/USDT,Terra,LUNA
LUNC/USDC,Terra Classic,LUNC
LUNC/USDT,Terra Classic,LUNC
MAGIC/USDT,Treasure,MAGIC
MANA/BTC,Decentraland,MANA
MANA/USDC,Decentraland,MANA
MANA/USDT,Decentraland,MANA
MASK/USDT,Mask Network,MASK
MASK/USDC,Mask Network,MASK
MATIC/BTC,Polygon,MATIC
MATIC/USDC,Polygon,MATIC
MATIC/USDT,Polygon,MATIC
MDT/USDT,Measurable Data Token,MDT
MEME/USDT,Memecoin,MEME
MENGO/USDT,Flamengo Fan Token,MENGO
METIS/USDT,Metis,METIS
MILO/USDT,Milo Inu,MILO
MINA/USDC,Mina,MINA
MINA/USDT,Mina,MINA
MKR/USDT,Maker,MKR
MKR/BTC,Maker,MKR
MKR/USDC,Maker,MKR
MLN/USDT,Enzyme,MLN
MOVEZ/USDT,MOVEZ,MOVEZ
MOVR/USDT,Moonriver,MOVR
MRST/USDT,Mars Token,MRST
MXC/USDT,MXC,MXC
MYRIA/USDT,Myria,MYRIA
NEAR/USDT,NEAR Protocol,NEAR
NEAR/BTC,NEAR Protocol,NEAR
NEAR/USDC,NEAR Protocol,NEAR
NEO/USDT,Neo,NEO
NEO/BTC,Neo,NEO
NFT/USDT,APENFT,NFT
NMR/USDT,Numeraire,NMR
NULS/USDT,NULS,NULS
NYM/USDT,NYM,NYM
OAS/USDT,Oasys,OAS
OKB/USDC,OKB,OKB
OKB/BTC,OKB,OKB
OKB/USDT,OKB,OKB
OKB/ETH,OKB,OKB
OKT/ETH,OKT Chain,OKT
OKT/USDT,OKT Chain,OKT
OKT/BTC,OKT Chain,OKT
OKT/USDC,OKT Chain,OKT
OM/USDT,MANTRA,OM
OMG/USDT,OMG Network,OMG
OMI/USDT,ECOMI,OMI
OMN/USDT,Omega Network,OMN
ONE/USDT,Harmony,ONE
