pair,name,base
ONT/USDT,Ontology,ONT
OP/USDC,Optimism,OP
OP/USDT,Optimism,OP
ORB/USDT,Orbcity,ORB
ORBS/USDT,Orbs,ORBS
ORDI/USDT,ORDI,ORDI
OXT/USDT,Orchid,OXT
PCI/USDT,Paycoin,PCI
PEOPLE/USDT,ConstitutionDAO,PEOPLE
PEPE/USDT,Pepe,PEPE
PERP/USDT,Perpetual Protocol,PERP
PHA/USDT,Phala Network,PHA
PIT/USDT,Pitbull,PIT
POLS/USDT,Polkastarter,POLS
POLYDOGE/USDT,PolyDoge,POLYDOGE
POR/USDT,Portugal National Team Fan Token,POR
PRQ/USDT,PARSIQ,PRQ
PSTAKE/USDT,pSTAKE Finance,PSTAKE
PYTH/USDT,Pyth Network,PYTH
QTUM/BTC,Qtum,QTUM
QTUM/USDT,Qtum,QTUM
RACA/USDT,RACA,RACA
RADAR/USDT,DappRadar,RADAR
RAY/USDT,Raydium,RAY
RDNT/USDC,Radiant Capital,RDNT
RDNT/USDT,Radiant Capital,RDNT
REN/USDT,Ren,REN
REP/USDT,Augur,REP
REVV/USDT,REVV,REVV
RIO/USDT,Realio Network,RIO
RNDR/USDT,Render,RNDR
RON/USDT,Ronin,RON
RPL/USDC,Rocket Pool,RPL
RPL/USDT,Rocket Pool,RPL
RSR/USDT,Reserve Rights,RSR
RSS3/USDT,RSS3,RSS3
RVN/USDT,Ravencoin,RVN
SAMO/USDT,Samoyedcoin,SAMO
SAND/USDC,The Sandbox,SAND
SAND/USDT,The Sandbox,SAND
SATS/USDT,SATS (Ordinals),SATS
SC/USDT,Siacoin,SC
SD/USDT,Stader,SD
SHIB/USDT,Shiba Inu,SHIB
SHIB/EUR,Shiba Inu,SHIB
SHIB/USDC,Shiba Inu,SHIB
SIS/USDT,Symbiosis,SIS
SKEB/USDT,Skeb Coin,SKEB
SKL/USDT,SKALE,SKL
SLN/USDT,Smart Layer Network,SLN
SLP/USDT,Smooth Love Potion,SLP
SNT/USDT,Status,SNT
SNX/USDC,Synthetix,SNX
SNX/USDT,Synthetix,SNX
SOL/USDT,Solana,SOL
SOL/USDC,Solana,SOL
SOL/ETH,Solana,SOL
SOL/EUR,Solana,SOL
SOL/BTC,Solana,SOL
SPELL/USDT,Spell Token,SPELL
SPURS/USDT,Tottenham Hotspur Fan Token,SPURS
SSV/USDT,ssv.network,SSV
SSWP/USDT,Suiswap,SSWP
STARL/USDT,Starlink,STARL
STC/USDT,Satoshi Island,STC
stETH/ETH,Lido Staked ETH,STETH
stETH/USDT,Lido Staked ETH,STETH
STORJ/USDC,Storj,STORJ
STORJ/USDT,Storj,STORJ
STRK/USDT,Starknet,STRK
STX/USDT,Stacks,STX
STX/BTC,Stacks,STX
STX/USDC,Stacks,STX
SUI/USDT,Sui,SUI
SUN/USDT,Sun (New),SUN
SUSHI/USDT,SushiSwap,SUSHI
SUSHI/USDC,SushiSwap,SUSHI
SUSHI/EUR,SushiSwap,SUSHI
SWEAT/USDT,Sweat Economy,SWEAT
SWFTC/USDT,SwftCoin,SWFTC
T/USDT,Threshold,T
TAKI/USDT,TAKI,TAKI
TAMA/USDT,Tamadoge,TAMA
THETA/USDT,Theta Network,THETA
THG/USDT,Thetan Arena,THG
TIA/USDT,Celestia,TIA
TON/USDC,Toncoin,TON
TON/USDT,Toncoin,TON
TRA/USDT,Trabzonspor Fan Token,TRA
TRB/USDT,Tellor,TRB
TRX/USDT,TRON,TRX
TRX/EUR,TRON,TRX
TRX/ETH,TRON,TRX
TRX/USDC,TRON,TRX
TRX/BTC,TRON,TRX
TUP/USDT,TenUp,TUP
TURBO/USDT,Turbo,TURBO
UMA/USDT,UMA,UMA
UNI/USDT,Uniswap,UNI
UNI/BTC,Uniswap,UNI
UNI/USDC,Uniswap,UNI
UNI/EUR,Uniswap,UNI
USDC/EUR,USDC,USDC
USDC/USDT,USDC,USDC
USDT/TRY,Tether USDt,USDT
USDT/EUR,Tether USDt,USDT
USDT/BRL,Tether USDt,USDT
USTC/USDT,TerraClassicUSD,USTC
UTK/USDT,xMoney,UTK
VELA/USDT,Vela Exchange,VELA
VELO/USDT,Velo,VELO
VELODROME/USDT,Velodrome Finance,VELODROME
VRA/USDT,Verasity,VRA
VSYS/USDT,v.systems,VSYS
WAXP/USDT,WAX,WAXP
WBTC/USDT,Wrapped Bitcoin,WBTC
WBTC/BTC,Wrapped Bitcoin,WBTC
WIFI/USDT,WiFi Map,WIFI
WIN/USDT,WINkLink,WIN
WLD/USDT,Worldcoin,WLD
WNCG/USDT,Nine Chronicles,WNCG
WOO/USDT,WOO,WOO
WSM/USDT,Wall Street Memes,WSM
WXT/USDT,Wirex Token,WXT
XAUt/USDT,Tether Gold,XAUT
XCH/BTC,Chia,XCH
XCH/USDT,Chia,XCH
XEC/USDT,eCash,XEC
XEM/USDT,NEM,XEM
XETA/USDT,XANA,XETA
XLM/USDT,Stellar,XLM
XLM/USDC,Stellar,XLM
XLM/BTC,Stellar,XLM
XNO/USDT,Nano,XNO
XPR/USDT,XPR Network,XPR
XRP/USDC,XRP,XRP
XRP/BTC,XRP,XRP
XRP/USDT,XRP,XRP
XRP/ETH,XRP,XRP
XTZ/USDT,Tezos,XTZ
YFI/USDT,yearn.finance,YFI
YGG/USDT,Yield Guild Games,YGG
YGG/USDC,Yield Guild Games,YGG
ZBC/USDT,Zebec,ZBC
ZETA/USDT,ZetaChain,ZETA
ZIL/USDC,Zilliqa,ZIL
ZIL/USDT,Zilliqa,ZIL
ZRX/USDT,0x Protocol,ZRX
